
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=4_sigma=25', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 4, 'gaussian_sigma': 25}

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.58540993669605
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.01965852435161
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.44437076403808
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.97568053111434
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.72378530057913
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.012910054658974
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.78047435263586
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.00118780565578
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.833119910955105
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.960858208156615
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.881013969864256
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.00515322346862
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.620267343585425
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.03073631611059
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.572167419026485
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.03549204783687
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.82244473497317
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.99186311817398
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.83621457051879
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.028980427150806
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.906943869390695
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.015114982554906
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.49364666073226
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.04159413423697
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.59641076668521
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.044602670158355
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.8716042724954
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.032722762359185
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.864823537190205
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.081022699056724
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.843691511925485
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.06956443957854
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.96708807698378
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.0790777448465
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.57645448932584
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.09379168735219
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.66887218244966
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.10318592110759
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.88280625326159
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.034036004150565
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.959884802763085
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.05948761917762
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.76703805967481
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.10241762908313
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.864050379139826
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.08617661158478
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.988219452153174
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.12788133335558
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.7194095692351
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.10272565718455
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.66608303246627
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.11841130114605
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.907478000378966
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.114819381281265
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.83682114246366
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.102494876115664
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.85732791095944
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.108436687028195
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.82670911636118
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.10369599390855
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 37.038431466472765
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.1165268962353
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 37.00164936112778
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.12578839739741
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.93014132459205
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 37.132036032996496
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.95944520056222
