INFO:logs/DIP_log_model_gaussian_+_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_+_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_+_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_+_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.815822158874738
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.778718228702168
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.80442247506832
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.61206868091414
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.80815490457944
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.784762225262988
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.81557625731793
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.65444129091516
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.81139588715223
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.801523511494185
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.821346915003442
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.82303609871115
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.82933373451951
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.63866460387758
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.81553400027054
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.749118711997177
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.821778210521096
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.803452453647164
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.826266322954048
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.623835049928754
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.825564723263604
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.848219032528007
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.832753378584602
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.673472420488483
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.834322401052475
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.603325541083098
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.83476479621823
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.89831677040965
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.840617779769545
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.730404345729884
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.84253105856267
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.79618078018573
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.843234172644273
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.736403589866228
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.83760038520947
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.787095508575153
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.84126599900212
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.826987953163016
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.840150294941942
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.788388948758662
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.841026962615075
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.79384053216714
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.844223475881705
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.838681957864342
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.841591022981323
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.814498487302657
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.858227293649538
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.920237074577436
