INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.06757315827795
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.803963179467697
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.08853064802996
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.230195654026865
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.07904942542821
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.360951131659338
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.07466025820808
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.24340886263804
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.084542656762274
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.558961478612602
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.076804358899857
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.26694103897558
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.07902799566752
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.443422872069394
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.079847419539757
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.650988306091723
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.06313614472636
